央视频道,#genre#
CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV13,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV13,http://117.169.121.162:6610/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://39.134.115.163:8080/TVOD/88888910/224/3221225638/index.m3u8
CCTV13,http://124.220.17.172/as.php?id=13
CCTV13,http://218.29.55.44:808/hls/13/index.m3u8

CCTV4K,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV4K,https://v.bjiptv.eu.org/4.php
CCTV4K,http://159.75.85.63:8280/cctv4k.php


卫视频道,#genre#
北京卫视,http://angtv.cc/test/lngd.php?id=083
北京卫视,http://cfss.cc/api/ysp/bjws.m3u8
北京卫视,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
北京卫视,https://node1.olelive.com:6443/live/BJHD/hls.m3u8
北京卫视,http://125.210.152.19:9120/live/hzgq-bjgqws-h264.m3u8
北京卫视,http://222.175.159.226:808/hls/45/index.m3u8
北京卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://113.117.74.17:808/hls/45/index.m3u8

浙江卫视,http://angtv.cc/test/lngd.php?id=094
浙江卫视,http://cfss.cc/api/ysp/zjws.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
浙江卫视,https://node1.olelive.com:6443/live/ZJHD/hls.m3u8
浙江卫视,http://125.210.152.19:9120/live/hzgq-zjwsgq-h264.m3u8
浙江卫视,http://222.175.159.226:808/hls/42/index.m3u8
浙江卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视,http://113.117.74.17:808/hls/43/index.m3u8

江苏卫视,http://angtv.cc/test/lngd.php?id=085
江苏卫视,http://cfss.cc/api/ysp/jsws.m3u8
江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
江苏卫视,http://125.210.152.19:9120/live/hzgq-jswsgq-h264.m3u8
江苏卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://113.117.74.17:808/hls/44/index.m3u8

东方卫视,http://angtv.cc/test/lngd.php?id=093
东方卫视,http://cfss.cc/api/ysp/dfws.m3u8
东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/800000
东方卫视,https://node1.olelive.com:6443/live/DFHD/hls.m3u8
东方卫视,http://125.210.152.19:9120/live/hzgq-dftvgq-h264.m3u8
东方卫视,http://tvmvip110.club/bs.php?id=22
东方卫视,http://222.175.159.226:808/hls/43/index.m3u8
东方卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://113.117.74.17:808/hls/47/index.m3u8

湖南卫视,http://angtv.cc/test/lngd.php?id=086
湖南卫视,http://cfss.cc/api/ysp/hunws.m3u8
湖南卫视,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
湖南卫视,https://node1.olelive.com:6443/live/HNHD/hls.m3u8
湖南卫视,http://125.210.152.19:9120/live/hzgq-hnwsgq-h264.m3u8
湖南卫视,http://222.175.159.226:808/hls/41/index.m3u8
湖南卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://113.117.74.17:808/hls/42/index.m3u8

广东卫视,http://angtv.cc/test/lngd.php?id=092
广东卫视,http://cfss.cc/api/ysp/gdws.m3u8
广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
广东卫视,http://125.210.152.19:9120/live/hzgq-gdwsgq-h264.m3u8
广东卫视,http://222.175.159.226:808/hls/52/index.m3u8
广东卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225742/index.m3u8
广东卫视,http://113.117.74.17:808/hls/40/index.m3u8

辽宁卫视,http://angtv.cc/test/lngd.php?id=058
辽宁卫视,http://cfss.cc/api/ysp/lnws.m3u8
辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
辽宁卫视,http://125.210.152.19:9120/live/hzgq-lnwsgq-h264.m3u8
辽宁卫视,http://222.175.159.226:808/hls/48/index.m3u8
辽宁卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视,http://113.117.74.17:808/hls/54/index.m3u8
辽宁都市,http://angtv.cc/test/lngd.php?id=610
辽宁都市,http://42.176.185.28:9901/tsfile/live/1005_1.m3u8


港台频道,#genre#
凤凰中文,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=1
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://2022.stream-link.org/live/58079722
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://115.231.143.224/playtv-live.ifeng.com/live/06OLEGEGM4G.flv
凤凰中文,rtmp://115.231.143.224/playtv-live.ifeng.com/live/06OLEGEGM4G
凤凰中文,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰中文,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8	
凤凰中文,http://120.84.96.82:808/hls/29/index.m3u8
凤凰中文,P2p://generationnexxxt.com:19806/645385720009117848161b4e340f749d
凤凰中文,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1668336354&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
